nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526.3997421264648,526.3997421264648,523.0608978271484,506.84366607666016,522.8224105834961,,505.88970947265625,,490.86492919921875,,529.9770736694336,,,,544.7633666992188,,,795.2359924316406,791.4182434082031,791.656852722168,791.656852722168,794.2815628051758,,823.6305313110352,,864.67138671875,,874.9316101074219,,,,907.1438903808594,,
511.90704345703125,510.61356353759766,509.8374786376953,492.76353454589844,505.1809387207031,,494.31571197509766,,478.5352554321289,,486.03743743896484,,,,,,478.5352554321289,795.6561965942383,790.4836883544922,790.4836883544922,789.7078247070312,795.3975677490234,,818.6738128662109,,860.8296661376953,,884.3645477294922,,,,,,882.5541839599609
511.84230041503906,510.5568389892578,509.27136993408203,491.2748107910156,506.70042419433594,,495.6454086303711,,484.0761947631836,,486.13294982910156,,,,,,479.19141387939453,796.5641250610352,791.1649322509766,791.4220428466797,791.1649322509766,795.7928009033203,,816.6182250976562,,833.072883605957,,885.2649841308594,,,,,,883.7223510742188
495.8223419189453,494.7739486694336,493.9352111816406,472.7574234008789,489.95127868652344,466.6766815185547,475.27359771728516,,473.8058395385742,491.8384094238281,480.0962600708008,,449.06346893310547,,,,,790.1151351928711,785.4983749389648,785.7082290649414,785.7082290649414,788.4363174438477,803.7555618286133,815.9270248413086,,859.7862396240234,882.2404937744141,879.3025360107422,,862.7241821289062,,,,
477.68375396728516,478.1177978515625,472.69219970703125,477.90077209472656,463.5771942138672,475.0794677734375,448.1685028076172,477.68375396728516,,,,436.23219299316406,439.05350494384766,,,,,781.1123962402344,775.8962020874023,777.2002487182617,775.6788635253906,777.6349334716797,801.3251571655273,791.9794769287109,840.8813171386719,,,,853.4871215820312,853.0524444580078,,,,
462.2477798461914,462.9359588623047,459.4950408935547,440.2259063720703,457.8892822265625,428.2973861694336,459.0362548828125,417.5158462524414,474.1763000488281,411.5515823364258,460.8714065551758,428.0679931640625,453.7601776123047,,468.6708297729492,421.8743362426758,,770.7134170532227,765.8803634643555,766.1105117797852,766.3406600952148,767.9516754150391,776.9273452758789,789.1250457763672,776.4670562744141,803.8543472290039,787.0537414550781,784.5221328735352,843.8996429443359,846.2010955810547,,893.1507415771484,893.1507415771484,
436.79344940185547,440.2375946044922,432.8572769165039,424.7389373779297,448.6019515991211,415.88255310058594,457.70433044433594,395.463680267334,478.615234375,,,419.3266906738281,447.61791229248047,452.7841262817383,417.3586196899414,,,763.8405227661133,761.1325531005859,760.8863677978516,758.6707611083984,758.6707611083984,778.8574371337891,781.8115921020508,779.842155456543,806.1833190917969,,,844.8334197998047,844.8334197998047,883.4835357666016,883.4835357666016,,
438.4007568359375,436.4684295654297,436.70996856689453,410.6235046386719,435.01918029785156,400.47876739501953,444.92236328125,388.16016387939453,465.2118377685547,390.09249114990234,,411.8312072753906,437.9176712036133,407.7250061035156,440.3330841064453,,,756.6296920776367,754.2182083129883,753.97705078125,756.1473999023438,756.6296920776367,777.8508148193359,775.1981811523438,779.7800064086914,772.3043899536133,772.0632476806641,,846.8194732666016,844.4079895019531,863.2176208496094,878.4100189208984,,
437.2362976074219,435.3692321777344,437.2362976074219,412.03096771240234,434.9024658203125,401.99552154541016,444.9379196166992,378.4238815307617,462.67498779296875,390.3263969421387,,411.33082580566406,437.4696731567383,,439.8034973144531,,,757.896598815918,754.6246871948242,754.1572723388672,756.2606506347656,756.7280578613281,778.4629440307617,775.658447265625,792.9528656005859,771.4516906738281,773.0876541137695,,844.6024322509766,843.4338836669922,,877.087890625,,
