nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
558.8951561337431,558.312482924689,555.517689296178,551.0166691371378,551.4645792643234,561.4908018566318,535.259282066709,,526.6619593302414,,560.219983418783,537.1671861921043,536.1906473068968,,555.3074151901976,,478.47276415143745,791.6787621634355,787.6629398890911,787.6743730817531,790.1727883475174,790.5747266496938,808.2149981544139,812.7471444266191,,853.8050159272702,,856.0042964390354,852.6278919038327,863.8208923339853,,895.0895894368498,,882.44292994908
540.2620479038789,539.5706598191039,537.2594270252051,526.1833764939086,534.3540925525489,533.057474772136,520.1080318632585,,507.4912254696805,543.6554361979172,532.9196072533022,,511.0001703898117,,550.4966710408534,,478.5665010724754,793.9938398088734,789.4807553972524,789.6565366472524,790.3521437872032,793.0949925013958,805.9217300415046,816.2453253609801,,852.5459133329854,836.744196573894,868.7645692371195,,863.2614644368498,,898.738332112631,,882.6098109654026
520.1339311145606,519.1103838966011,517.8026766095848,498.7805357433506,515.5314007713686,499.06681278773766,502.5244133358915,518.3677546183274,486.7879482450944,499.24084182012695,502.8583028884166,471.55944061279337,480.9851495651976,,552.8293184552879,,478.75397491455124,796.0777024768654,791.3529328845804,791.4117086501356,791.3608085995636,795.5102749779119,805.0701130458294,821.0742452712294,792.7053909301766,853.1330406552278,859.4923451741545,879.8190140497125,853.1863911946623,863.9139411562974,,904.2737920851944,,882.9435729980477
502.91449483235726,501.88137563069705,500.3165192377004,483.7190991356264,496.2382736206059,476.2737357729962,482.0447354997912,489.2260309855148,473.78783598400344,484.67990911574634,483.15229652041523,442.05648549397824,451.6102185930529,,539.5018256051205,421.87433624267624,478.9726943969731,795.2362420218338,790.218167622885,790.5395754859569,789.7203619820739,794.2144757225408,806.1181557064972,818.0693777175185,794.25189899263,858.7333879016703,888.056163242886,894.3897545224154,854.3572533017121,862.9545099167605,,905.8771529424766,893.1507415771493,883.3329620361336
495.4281336466476,494.4209216889885,492.6423383440295,479.0551703316829,485.60412379673596,458.9492866879422,472.5079273042229,465.29482160295805,475.3860677083338,488.0152271815713,477.0037453061063,426.582427251907,438.1640094575432,452.7841262817387,524.2860648745587,421.87433624267624,483.68146514892624,789.4200421287908,784.0402853829528,784.5898815336689,784.2147907075434,787.7982719058089,801.2903555007215,808.3613197689972,791.6106988816042,848.9524307250985,884.2072623116637,877.6321632748566,853.0275668189647,859.2275150844036,883.4835357666024,904.6009877522796,893.1507415771493,884.8695380801255
477.9761265345986,478.6334926060273,474.4151407877609,464.97488330659456,472.2662197294694,457.56035650344165,463.07674771263527,457.27325457618394,476.43399120512504,467.11985669817284,473.9845334007631,433.8083961123516,447.9237274896535,457.075471060617,489.4035259428483,421.87433624267624,476.9932567051483,781.4000120617102,776.5254527500704,777.1103780837293,776.1829528808601,778.1480313255681,794.1904660179509,799.1292488461456,787.4592506772003,840.5641759236662,851.93924240839,848.0787502470478,850.1466129847943,853.9679638090596,883.683635893323,897.8379734584273,893.1507415771493,883.2321980794279
458.43379901704384,459.64566948300364,454.6991595313667,444.8071823120122,455.7145451137002,438.47503662109415,453.71009572347043,430.80057198660757,474.1576766967778,437.2697198050367,466.7047682262607,427.5663532075432,446.86794680640855,450.63845389229954,456.3346728370308,421.87433624267624,463.3668746948246,771.2392603556323,767.185980297271,767.5804995582225,766.723718552363,767.7929622105198,785.7128143310554,788.3544765654071,781.747350056967,824.2866915748241,817.9712633405421,815.5477483840223,847.7124488467269,848.562058948336,883.5344779604965,890.4790009998148,893.1507415771493,879.512502034506
445.96431187221026,446.6984078543531,443.42917923700287,428.61775825137227,445.78357987176844,419.4930801391606,451.8165577479776,403.504358745757,474.3179390316923,408.233860379174,463.4268911452525,420.85582624162987,445.3279313587011,437.7644195556645,435.595590500605,421.87433624267624,447.5423355102543,762.908501761301,759.3952789306647,759.2702865600593,759.8812408447272,760.7050403413325,778.7699439639146,780.0977314540326,780.3871954055066,793.5399667649049,787.033617655437,791.285956973122,845.4038870675231,844.4494548979269,884.2866839454296,883.9114525204621,893.1507415771493,875.3026529947925
437.9505382719498,437.1647360665462,435.8920429774697,409.5218593052459,442.0482893444247,397.89217994326674,455.04597073509626,383.91504215058865,475.4018750871935,389.67663174583834,466.6934371221638,413.42715817406105,442.40938059488974,422.7447128295903,438.44998713902106,421.87433624267624,434.68338848295707,758.2171202160071,755.7435418991822,755.5769304547998,755.5521200270887,756.006517319453,776.7073026384634,777.0353088378913,780.6213989257819,780.5193741208038,768.1385309128541,770.1214236304882,844.5265154157374,843.6661144438251,880.7648646036791,882.3417431059347,893.1507415771493,871.2971017020097
433.0089950561527,432.65975043887227,430.7365871611099,413.4328217279347,431.54074024018826,402.7765499296646,439.93236178443584,376.50658652896004,454.50242287772085,391.26683244251103,450.89486440022824,409.6527521042601,436.62160237630246,412.75986698695635,430.7364185878213,421.87433624267624,426.84402756463953,759.5160326276514,756.7097643897654,756.8545070829853,756.896284557525,755.8465223766516,777.4970546904071,774.6011690412256,789.6744602748333,784.2372825259262,772.0767353602826,778.7698665800556,846.4794471377427,844.3221602666954,873.6913564772842,874.5646347772515,893.1507415771493,870.0885445731035
